{'open': 0.07699999958276749, 'high': 0.07699999958276749, 'low': 0.07699999958276749, 'close': 0.07699999958276749, 'volume': 0, 'date': datetime.date(2023, 1, 20), 'stock_id': '14D.AX'}, 
{'open': 0.03999999910593033, 'high': 0.03999999910593033, 'low': 0.039000000804662704, 'close': 0.03999999910593033, 'volume': 106811, 'date': datetime.date(2023, 1, 20), 'stock_id': '1AD.AX'}, 
{'open': 0.17000000178813934, 'high': 0.17000000178813934, 'low': 0.17000000178813934, 'close': 0.17000000178813934, 'volume': 4085, 'date': datetime.date(2023, 1, 20), 'stock_id': '1AE.AX'}, 
{'open': 0.014000000432133675, 'high': 0.014000000432133675, 'low': 0.014000000432133675, 'close': 0.014000000432133675, 'volume': 8, 'date': datetime.date(2023, 1, 20), 'stock_id': '1AG.AX'}, 
{'open': 0.014999999664723873, 'high': 0.01600000075995922, 'low': 0.014999999664723873, 'close': 0.014999999664723873, 'volume': 3894024, 'date': datetime.date(2023, 1, 20), 'stock_id': '1MC.AX'}, 
{'open': 0.008999999612569809, 'high': 0.008999999612569809, 'low': 0.008999999612569809, 'close': 0.008999999612569809, 'volume': 0, 'date': datetime.date(2023, 1, 20), 'stock_id': '1ST.AX'}, 
{'open': 2.1500000953674316, 'high': 2.1500000953674316, 'low': 2.0999999046325684, 'close': 2.109999895095825, 'volume': 588702, 'date': datetime.date(2023, 1, 20), 'stock_id': '29M.AX'}, 
{'open': 0.04899999871850014, 'high': 0.04899999871850014, 'low': 0.04899999871850014, 'close': 0.04899999871850014, 'volume': 0, 'date': datetime.date(2023, 1, 20), 'stock_id': '2BE.AX'}, 
{'open': 5.440000057220459, 'high': 5.909999847412109, 'low': 5.349999904632568, 'close': 5.769999980926514, 'volume': 1303814, 'date': datetime.date(2023, 1, 16), 'stock_id': '360.AX'}, 
{'open': 5.760000228881836, 'high': 5.800000190734863, 'low': 5.449999809265137, 'close': 5.5, 'volume': 539048, 'date': datetime.date(2023, 1, 17), 'stock_id': '360.AX'}, 
{'open': 5.599999904632568, 'high': 5.769999980926514, 'low': 5.519999980926514, 'close': 5.769999980926514, 'volume': 350475, 'date': datetime.date(2023, 1, 18), 'stock_id': '360.AX'}, 
{'open': 5.650000095367432, 'high': 5.679999828338623, 'low': 5.519999980926514, 'close': 5.599999904632568, 'volume': 454760, 'date': datetime.date(2023, 1, 19), 'stock_id': '360.AX'}, 
{'open': 5.559999942779541, 'high': 5.659999847412109, 'low': 5.380000114440918, 'close': 5.550000190734863, 'volume': 577416, 'date': datetime.date(2023, 1, 20), 'stock_id': '360.AX'}, 
{'open': 0.13500000536441803, 'high': 0.14000000059604645, 'low': 0.12999999523162842, 'close': 0.12999999523162842, 'volume': 65257, 'date': datetime.date(2023, 1, 16), 'stock_id': '3DA.AX'}, 
{'open': 0.12999999523162842, 'high': 0.14499999582767487, 'low': 0.12999999523162842, 'close': 0.12999999523162842, 'volume': 187327, 'date': datetime.date(2023, 1, 17), 'stock_id': '3DA.AX'}, 
{'open': 0.12999999523162842, 'high': 0.12999999523162842, 'low': 0.12999999523162842, 'close': 0.12999999523162842, 'volume': 197715, 'date': datetime.date(2023, 1, 18), 'stock_id': '3DA.AX'}, 
{'open': 0.13500000536441803, 'high': 0.13500000536441803, 'low': 0.11999999731779099, 'close': 0.11999999731779099, 'volume': 483188, 'date': datetime.date(2023, 1, 19), 'stock_id': '3DA.AX'}, 
{'open': 0.11999999731779099, 'high': 0.11999999731779099, 'low': 0.11999999731779099, 'close': 0.11999999731779099, 'volume': 60050, 'date': datetime.date(2023, 1, 20), 'stock_id': '3DA.AX'}, 
{'open': 0.19499999284744263, 'high': 0.20000000298023224, 'low': 0.19499999284744263, 'close': 0.20000000298023224, 'volume': 285683, 'date': datetime.date(2023, 1, 16), 'stock_id': '3DP.AX'}, 
{'open': 0.20000000298023224, 'high': 0.20499999821186066, 'low': 0.1899999976158142, 'close': 0.19499999284744263, 'volume': 335644, 'date': datetime.date(2023, 1, 17), 'stock_id': '3DP.AX'}, 
{'open': 0.19499999284744263, 'high': 0.20999999344348907, 'low': 0.19499999284744263, 'close': 0.20999999344348907, 'volume': 472648, 'date': datetime.date(2023, 1, 18), 'stock_id': '3DP.AX'}, 
{'open': 0.20499999821186066, 'high': 0.20999999344348907, 'low': 0.20000000298023224, 'close': 0.20999999344348907, 'volume': 305368, 'date': datetime.date(2023, 1, 19), 'stock_id': '3DP.AX'}, 
{'open': 0.20999999344348907, 'high': 0.22499999403953552, 'low': 0.20999999344348907, 'close': 0.22499999403953552, 'volume': 472268, 'date': datetime.date(2023, 1, 20), 'stock_id': '3DP.AX'}, 
{'open': 0.013000000268220901, 'high': 0.013000000268220901, 'low': 0.013000000268220901, 'close': 0.013000000268220901, 'volume': 0, 'date': datetime.date(2023, 1, 16), 'stock_id': '3MF.AX'}, 
{'open': 0.013000000268220901, 'high': 0.013000000268220901, 'low': 0.013000000268220901, 'close': 0.013000000268220901, 'volume': 0, 'date': datetime.date(2023, 1, 17), 'stock_id': '3MF.AX'}, 
{'open': 0.013000000268220901, 'high': 0.013000000268220901, 'low': 0.013000000268220901, 'close': 0.013000000268220901, 'volume': 0, 'date': datetime.date(2023, 1, 18), 'stock_id': '3MF.AX'}, 
{'open': 0.013000000268220901, 'high': 0.013000000268220901, 'low': 0.013000000268220901, 'close': 0.013000000268220901, 'volume': 0, 'date': datetime.date(2023, 1, 19), 'stock_id': '3MF.AX'}, 
{'open': 0.013000000268220901, 'high': 0.013000000268220901, 'low': 0.013000000268220901, 'close': 0.013000000268220901, 'volume': 0, 'date': datetime.date(2023, 1, 20), 'stock_id': '3MF.AX'}, 
{'open': 1.2599999904632568, 'high': 1.2599999904632568, 'low': 1.2599999904632568, 'close': 1.2599999904632568, 'volume': 0, 'date': datetime.date(2023, 1, 16), 'stock_id': '3PL.AX'}, 
{'open': 1.2999999523162842, 'high': 1.2999999523162842, 'low': 1.2999999523162842, 'close': 1.2999999523162842, 'volume': 555, 'date': datetime.date(2023, 1, 17), 'stock_id': '3PL.AX'}, 
{'open': 1.2999999523162842, 'high': 1.2999999523162842, 'low': 1.2999999523162842, 'close': 1.2999999523162842, 'volume': 122889, 'date': datetime.date(2023, 1, 18), 'stock_id': '3PL.AX'}, 
{'open': 1.2999999523162842, 'high': 1.2999999523162842, 'low': 1.2999999523162842, 'close': 1.2999999523162842, 'volume': 1, 'date': datetime.date(2023, 1, 19), 'stock_id': '3PL.AX'}, 
{'open': 1.2999999523162842, 'high': 1.2999999523162842, 'low': 1.2999999523162842, 'close': 1.2999999523162842, 'volume': 0, 'date': datetime.date(2023, 1, 20), 'stock_id': '3PL.AX'}, 
{'open': 0.04100000113248825, 'high': 0.04100000113248825, 'low': 0.03999999910593033, 'close': 0.03999999910593033, 'volume': 753498, 'date': datetime.date(2023, 1, 16), 'stock_id': '4DS.AX'}, 
{'open': 0.03999999910593033, 'high': 0.04100000113248825, 'low': 0.03999999910593033, 'close': 0.03999999910593033, 'volume': 1880388, 'date': datetime.date(2023, 1, 17), 'stock_id': '4DS.AX'}, 
{'open': 0.03999999910593033, 'high': 0.03999999910593033, 'low': 0.039000000804662704, 'close': 0.039000000804662704, 'volume': 905662, 'date': datetime.date(2023, 1, 18), 'stock_id': '4DS.AX'}, 
{'open': 0.039000000804662704, 'high': 0.039500001817941666, 'low': 0.039000000804662704, 'close': 0.039000000804662704, 'volume': 1782767, 'date': datetime.date(2023, 1, 19), 'stock_id': '4DS.AX'}, 
{'open': 0.03999999910593033, 'high': 0.04100000113248825, 'low': 0.03799999877810478, 'close': 0.039000000804662704, 'volume': 2822005, 'date': datetime.date(2023, 1, 20), 'stock_id': '4DS.AX'}, 
{'open': 0.4000000059604645, 'high': 0.41499999165534973, 'low': 0.39500001072883606, 'close': 0.39500001072883606, 'volume': 177971, 'date': datetime.date(2023, 1, 16), 'stock_id': '4DX.AX'}, 
{'open': 0.39500001072883606, 'high': 0.4449999928474426, 'low': 0.39500001072883606, 'close': 0.4399999976158142, 'volume': 213402, 'date': datetime.date(2023, 1, 17), 'stock_id': '4DX.AX'}, 
{'open': 0.44999998807907104, 'high': 0.49000000953674316, 'low': 0.4399999976158142, 'close': 0.4699999988079071, 'volume': 654835, 'date': datetime.date(2023, 1, 18), 'stock_id': '4DX.AX'}, 
{'open': 0.46000000834465027, 'high': 0.4699999988079071, 'low': 0.4350000023841858, 'close': 0.4399999976158142, 'volume': 291258, 'date': datetime.date(2023, 1, 19), 'stock_id': '4DX.AX'}, 
{'open': 0.4399999976158142, 'high': 0.44999998807907104, 'low': 0.4300000071525574, 'close': 0.44999998807907104, 'volume': 206250, 'date': datetime.date(2023, 1, 20), 'stock_id': '4DX.AX'}, 
{'open': 1.6699999570846558, 'high': 1.6799999475479126, 'low': 1.5674999952316284, 'close': 1.6299999952316284, 'volume': 699690, 'date': datetime.date(2023, 1, 16), 'stock_id': '5EA.AX'}, 
{'open': 1.6200000047683716, 'high': 1.6699999570846558, 'low': 1.6100000143051147, 'close': 1.649999976158142, 'volume': 395036, 'date': datetime.date(2023, 1, 17), 'stock_id': '5EA.AX'}, 
{'open': 1.5950000286102295, 'high': 1.5950000286102295, 'low': 1.5299999713897705, 'close': 1.534999966621399, 'volume': 1377941, 'date': datetime.date(2023, 1, 18), 'stock_id': '5EA.AX'}, 
{'open': 1.524999976158142, 'high': 1.5750000476837158, 'low': 1.524999976158142, 'close': 1.5549999475479126, 'volume': 178403, 'date': datetime.date(2023, 1, 19), 'stock_id': '5EA.AX'}, 
{'open': 1.5, 'high': 1.5399999618530273, 'low': 1.4800000190734863, 'close': 1.534999966621399, 'volume': 214479, 'date': datetime.date(2023, 1, 20), 'stock_id': '5EA.AX'}, 
{'open': 0.20000000298023224, 'high': 0.20000000298023224, 'low': 0.18000000715255737, 'close': 0.1850000023841858, 'volume': 132640, 'date': datetime.date(2023, 1, 16), 'stock_id': '5GG.AX'}, 
{'open': 0.1850000023841858, 'high': 0.1850000023841858, 'low': 0.18000000715255737, 'close': 0.1850000023841858, 'volume': 133813, 'date': datetime.date(2023, 1, 17), 'stock_id': '5GG.AX'}, 
{'open': 0.1850000023841858, 'high': 0.1899999976158142, 'low': 0.16500000655651093, 'close': 0.1899999976158142, 'volume': 263734, 'date': datetime.date(2023, 1, 18), 'stock_id': '5GG.AX'}, 
{'open': 0.1850000023841858, 'high': 0.1850000023841858, 'low': 0.18000000715255737, 'close': 0.18000000715255737, 'volume': 202603, 'date': datetime.date(2023, 1, 19), 'stock_id': '5GG.AX'}, 
{'open': 0.17499999701976776, 'high': 0.17499999701976776, 'low': 0.16500000655651093, 'close': 0.17000000178813934, 'volume': 191901, 'date': datetime.date(2023, 1, 20), 'stock_id': '5GG.AX'}, 
{'open': 0.012000000104308128, 'high': 0.012000000104308128, 'low': 0.010999999940395355, 'close': 0.010999999940395355, 'volume': 12956620, 'date': datetime.date(2023, 1, 16), 'stock_id': '88E.AX'}, 
{'open': 0.010999999940395355, 'high': 0.011500000022351742, 'low': 0.010999999940395355, 'close': 0.010999999940395355, 'volume': 10505271, 'date': datetime.date(2023, 1, 17), 'stock_id': '88E.AX'}, 
{'open': 0.010999999940395355, 'high': 0.012000000104308128, 'low': 0.010999999940395355, 'close': 0.012000000104308128, 'volume': 13046438, 'date': datetime.date(2023, 1, 18), 'stock_id': '88E.AX'}, 
{'open': 0.012000000104308128, 'high': 0.012000000104308128, 'low': 0.010999999940395355, 'close': 0.010999999940395355, 'volume': 24612517, 'date': datetime.date(2023, 1, 19), 'stock_id': '88E.AX'}, 
{'open': 0.012000000104308128, 'high': 0.012000000104308128, 'low': 0.010999999940395355, 'close': 0.010999999940395355, 'volume': 8076725, 'date': datetime.date(2023, 1, 20), 'stock_id': '88E.AX'}, 
{'open': 0.0989999994635582, 'high': 0.0989999994635582, 'low': 0.0989999994635582, 'close': 0.0989999994635582, 'volume': 0, 'date': datetime.date(2023, 1, 16), 'stock_id': '8CO.AX'}, 
